X,Jan.76,Feb.76,Mar.76,Apr.76,May.76,Jun.76,Jul.76,Aug.76,Sep.76,Oct.76,Nov.76,Dec.76,Jan.77,Feb.77,Mar.77,Apr.77,May.77,Jun.77,Jul.77,Aug.77,Sep.77,Oct.77,Nov.77,Dec.77,Jan.78,Feb.78,Mar.78,Apr.78,May.78,Jun.78,Jul.78,Aug.78,Sep.78,Oct.78,Nov.78,Dec.78,Jan.79,Feb.79,Mar.79,Apr.79,May.79,Jun.79,Jul.79,Aug.79,Sep.79,Oct.79,Nov.79,Dec.79,Jan.80,Feb.80,Mar.80,Apr.80,May.80,Jun.80,Jul.80,Aug.80,Sep.80,Oct.80,Nov.80,Dec.80,Jan.81,Feb.81,Mar.81,Apr.81,May.81,Jun.81,Jul.81,Aug.81,Sep.81,Oct.81,Nov.81,Dec.81,Jan.82,Feb.82,Mar.82,Apr.82,May.82,Jun.82,Jul.82,Aug.82,Sep.82,Oct.82,Nov.82,Dec.82,Jan.83,Feb.83,Mar.83,Apr.83,May.83,Jun.83,Jul.83,Aug.83,Sep.83,Oct.83,Nov.83,Dec.83,Jan.84,Feb.84,Mar.84,Apr.84,May.84,Jun.84,Jul.84,Aug.84,Sep.84,Oct.84,Nov.84,Dec.84,Jan.85,Feb.85,Mar.85,Apr.85,May.85,Jun.85,Jul.85,Aug.85,Sep.85,Oct.85,Nov.85,Dec.85,Jan.86,Feb.86,Mar.86,Apr.86,May.86,Jun.86,Jul.86,Aug.86,Sep.86,Oct.86,Nov.86,Dec.86,Jan.87,Feb.87,Mar.87,Apr.87,May.87,Jun.87,Jul.87,Aug.87,Sep.87,Oct.87,Nov.87,Dec.87,Jan.88,Feb.88,Mar.88,Apr.88,May.88,Jun.88,Jul.88,Aug.88,Sep.88,Oct.88,Nov.88,Dec.88,Jan.89,Feb.89,Mar.89,Apr.89,May.89,Jun.89,Jul.89,Aug.89,Sep.89,Oct.89,Nov.89,Dec.89,Jan.90,Feb.90,Mar.90,Apr.90,May.90,Jun.90,Jul.90,Aug.90,Sep.90,Oct.90,Nov.90,Dec.90,Jan.91,Feb.91,Mar.91,Apr.91,May.91,Jun.91,Jul.91,Aug.91,Sep.91,Oct.91,Nov.91,Dec.91,Jan.92,Feb.92,Mar.92,Apr.92,May.92,Jun.92,Jul.92,Aug.92,Sep.92,Oct.92,Nov.92,Dec.92,Jan.93,Feb.93,Mar.93,Apr.93,May.93,Jun.93,Jul.93,Aug.93,Sep.93,Oct.93,Nov.93,Dec.93,Jan.94,Feb.94,Mar.94,Apr.94,May.94,Jun.94,Jul.94,Aug.94,Sep.94,Oct.94,Nov.94,Dec.94,Jan.95,Feb.95,Mar.95,Apr.95,May.95,Jun.95,Jul.95,Aug.95,Sep.95,Oct.95,Nov.95,Dec.95,Jan.96,Feb.96,Mar.96,Apr.96,May.96,Jun.96,Jul.96,Aug.96,Sep.96,Oct.96,Nov.96,Dec.96,Jan.97,Feb.97,Mar.97,Apr.97,May.97,Jun.97,Jul.97,Aug.97,Sep.97,Oct.97,Nov.97,Dec.97,Jan.98,Feb.98,Mar.98,Apr.98,May.98,Jun.98,Jul.98,Aug.98,Sep.98,Oct.98,Nov.98,Dec.98,Jan.99,Feb.99,Mar.99,Apr.99,May.99,Jun.99,Jul.99,Aug.99,Sep.99,Oct.99,Nov.99,Dec.99,Jan.00,Feb.00,Mar.00,Apr.00,May.00,Jun.00,Jul.00,Aug.00,Sep.00,Oct.00,Nov.00,Dec.00,Jan.01,Feb.01,Mar.01,Apr.01,May.01,Jun.01,Jul.01,Aug.01,Sep.01,Oct.01,Nov.01,Dec.01,Jan.02,Feb.02,Mar.02,Apr.02,May.02,Jun.02,Jul.02,Aug.02,Sep.02,Oct.02,Nov.02,Dec.02,Jan.03,Feb.03,Mar.03,Apr.03,May.03,Jun.03,Jul.03,Aug.03,Sep.03,Oct.03,Nov.03,Dec.03,Jan.04,Feb.04,Mar.04,Apr.04,May.04,Jun.04,Jul.04,Aug.04,Sep.04,Oct.04,Nov.04,Dec.04,Jan.05,Feb.05,Mar.05,Apr.05,May.05,Jun.05,Jul.05,Aug.05,Sep.05,Oct.05,Nov.05,Dec.05,Jan.06,Feb.06,Mar.06,Apr.06,May.06,Jun.06,Jul.06,Aug.06,Sep.06,Oct.06,Nov.06,Dec.06,Jan.07,Feb.07,Mar.07,Apr.07,May.07,Jun.07,Jul.07,Aug.07,Sep.07,Oct.07,Nov.07,Dec.07,Jan.08,Feb.08,Mar.08,Apr.08,May.08,Jun.08,Jul.08,Aug.08,Sep.08,Oct.08,Nov.08,Dec.08,Jan.09,Feb.09,Mar.09,Apr.09,May.09,Jun.09,Jul.09,Aug.09,Sep.09,Oct.09,Nov.09,Dec.09,Jan.10,Feb.10,Mar.10,Apr.10,May.10,Jun.10,Jul.10,Aug.10,Sep.10,Oct.10,Nov.10,Dec.10,Jan.11,Feb.11,Mar.11,Apr.11,May.11,Jun.11,Jul.11,Aug.11,Sep.11,Oct.11,Nov.11,Dec.11,Jan.12,Feb.12,Mar.12,Apr.12,May.12,Jun.12,Jul.12,Aug.12,Sep.12,Oct.12,Nov.12,Dec.12,Jan.13,Feb.13,Mar.13,Apr.13,May.13,Jun.13,Jul.13,Aug.13,Sep.13,Oct.13,Nov.13,Dec.13,Jan.14,Feb.14,Mar.14,Apr.14,May.14,Jun.14,Jul.14,Aug.14,Sep.14,Oct.14,Nov.14,Dec.14,Jan.15,Feb.15,Mar.15,Apr.15,May.15,Jun.15,Jul.15,Aug.15,Sep.15,Oct.15,Nov.15,Dec.15,Jan.16,Feb.16,Mar.16,Apr.16,May.16,Jun.16,Jul.16,Aug.16,Sep.16,Oct.16,Nov.16,Dec.16,Jan.17,Feb.17,Mar.17,Apr.17,May.17,Jun.17,Jul.17,Aug.17,Sep.17,Oct.17,Nov.17,Dec.17,Jan.18,Feb.18,Mar.18,Apr.18,May.18,Jun.18,Jul.18,Aug.18,Sep.18,Oct.18,Nov.18,Dec.18,Jan.19,Feb.19,Mar.19,Apr.19,May.19,Jun.19,Jul.19,Aug.19,Sep.19,Oct.19,Nov.19,Dec.19,Jan.20,Feb.20,Mar.20,Apr.20,May.20,Jun.20,Jul.20,Aug.20,Sep.20,Oct.20,Nov.20,Dec.20,Jan.21,Feb.21,Mar.21,Apr.21,May.21,Jun.21,Jul.21,Aug.21,Sep.21,Oct.21,Nov.21,Dec.21,Jan.22,Feb.22,Mar.22
total,"93,849,003","94,041,502","94,386,293","94,670,198","94,887,301","97,460,195","98,608,802","98,090,800","96,282,608","96,945,298","97,102,898","96,996,202","96,206,996","96,812,101","97,241,700","97,396,197","97,790,601","100,757,802","101,065,202","100,789,703","99,426,898","100,166,399","100,608,998","100,309,709","99,628,598","99,624,397","100,178,399","100,637,203","101,111,798","104,034,799","104,530,092","103,956,004","102,745,500","103,460,501","103,583,701","103,562,900","102,863,902","103,252,400","103,650,402","103,283,399","103,528,200","106,278,200","107,156,306","106,541,303","105,555,202","106,054,794","105,836,701","106,014,102","105,290,700","105,391,606","105,520,598","105,614,300","106,214,433","108,345,140","109,276,899","108,414,395","106,970,202","107,648,503","107,521,205","107,001,899","106,882,902","107,033,190","107,722,617","107,973,704","108,674,999","110,012,300","110,844,501","110,207,678","108,378,099","109,294,897","109,214,702","108,645,101","108,114,295","108,451,105","108,890,398","108,950,203","110,054,303","111,724,700","112,685,900","112,054,197","110,699,608","110,891,698","110,971,101","110,603,598","109,890,100","109,768,299","109,993,297","110,007,697","110,440,607","113,509,002","114,089,503","113,715,600","112,339,900","112,184,799","112,292,401","111,946,105","111,025,396","111,398,804","111,876,097","112,220,798","113,336,600","115,484,604","116,304,998","115,201,403","113,961,197","114,349,602","114,203,703","114,115,902","113,631,694","113,775,902","114,586,003","114,539,194","115,114,003","116,805,403","117,769,101","116,938,297","116,119,402","116,598,399","116,354,200","116,040,004","115,442,698","115,759,494","116,351,006","116,367,805","117,265,801","119,698,600","120,357,700","119,548,895","118,336,767","118,779,505","118,703,197","118,124,495","117,724,994","117,983,401","118,369,107","118,375,695","119,718,600","121,205,154","122,126,202","121,665,904","119,936,297","120,799,499","120,664,295","120,265,703","119,826,672","119,985,299","120,010,302","120,337,901","120,865,599","123,099,699","123,954,397","123,486,005","121,933,702","122,515,801","122,728,108","122,195,203","122,169,102","121,995,007","122,306,495","122,648,796","123,271,503","125,635,596","126,202,103","125,465,804","123,866,598","124,461,399","124,705,705","124,013,796","124,241,664","124,412,557","124,830,314","124,837,518","125,764,041","127,508,505","128,137,484","127,258,803","125,933,297","126,234,245","126,042,432","125,836,939","124,839,579","125,296,161","125,692,368","125,973,989","126,162,726","128,469,571","128,804,481","127,560,330","126,808,715","127,033,493","126,880,900","126,573,434","126,544,509","126,869,991","127,308,028","127,397,744","128,283,784","130,732,828","131,391,540","130,237,748","128,767,123","128,586,063","128,842,714","128,644,641","127,800,274","128,271,863","128,467,772","128,269,882","129,631,022","131,775,717","132,299,848","131,418,545","129,733,323","130,467,254","130,454,178","130,340,084","130,190,798","130,558,763","130,543,403","130,531,500","131,468,333","132,998,923","133,675,589","133,270,728","132,064,057","132,815,636","132,816,395","132,373,443","131,763,444","132,117,586","132,549,360","132,820,116","132,933,684","134,669,067","135,692,279","134,646,000","133,610,891","134,173,039","133,960,026","133,360,809","132,770,280","133,388,132","134,121,289","133,959,655","135,034,102","136,598,216","137,817,371","136,560,828","135,793,794","136,612,600","136,606,923","136,231,643","135,655,539","135,898,726","136,943,676","136,594,369","137,423,429","139,067,662","139,862,578","139,012,601","137,937,309","138,256,517","138,531,216","138,373,354","137,618,482","137,963,087","138,663,175","138,089,701","138,973,808","140,569,275","141,162,364","140,184,805","139,699,309","140,057,237","140,128,756","140,146,763","139,627,542","139,888,936","140,103,013","139,936,278","140,632,143","142,378,158","142,865,805","141,832,161","140,942,055","141,494,972","141,656,524","141,706,744","141,399,559","141,931,227","142,259,424","142,105,410","142,122,865","143,817,268","143,742,010","143,116,229","142,095,542","142,628,535","142,831,732","143,169,062","143,050,546","143,188,362","143,751,851","143,117,007","143,172,420","144,656,329","145,090,694","143,817,597","143,590,105","144,042,837","143,954,002","144,006,673","143,195,792","144,246,507","144,323,580","144,151,434","144,516,614","145,929,490","146,165,032","145,541,656","145,135,843","145,281,265","144,818,269","144,766,072","144,633,594","144,932,284","145,041,783","145,119,367","145,253,831","147,250,018","146,939,381","146,073,959","145,260,062","145,860,623","146,022,430","145,533,737","145,446,758","145,507,025","145,873,997","145,608,598","146,005,358","147,808,697","148,533,609","147,479,174","146,483,438","147,270,355","147,519,102","147,161,350","146,392,967","146,914,373","147,007,553","147,541,071","148,136,997","149,572,934","150,366,281","149,699,821","149,122,791","149,677,386","149,594,469","149,140,219","148,378,658","148,966,163","149,303,445","149,484,282","149,968,616","151,818,751","152,468,702","151,783,569","150,946,626","151,659,719","151,861,238","151,853,499","151,005,743","150,972,278","151,326,728","150,924,746","151,438,787","153,326,941","153,929,168","152,545,662","152,448,679","152,577,514","153,065,992","152,730,368","152,341,272","152,092,810","152,635,274","152,746,951","153,492,539","155,067,605","155,766,980","154,847,863","153,946,879","154,429,755","154,030,115","153,734,360","153,159,476","153,511,708","153,428,495","153,525,543","154,030,545","155,601,358","155,926,635","154,574,233","153,282,774","153,303,887","153,207,099","152,353,674","152,794,212","153,024,572","153,490,334","154,417,563","154,390,471","155,297,716","155,802,852","155,223,781","154,395,378","154,208,655","154,268,559","153,740,126","153,353,450","153,463,740","153,868,413","153,766,518","154,324,481","155,478,655","155,727,187","155,262,425","154,956,245","155,038,828","154,646,476","154,361,726","153,529,363","154,161,723","154,369,242","153,959,136","155,055,520","156,448,018","156,590,032","155,319,064","155,147,806","155,852,832","155,033,809","154,990,854","154,791,138","154,709,900","154,485,565","154,701,951","155,693,768","157,050,654","157,155,468","155,938,889","155,508,567","154,890,034","155,027,264","154,394,097","154,379,402","155,023,495","155,627,025","154,844,017","155,841,606","157,000,730","157,573,244","156,448,890","155,929,092","156,650,514","156,346,523","155,569,282","155,787,913","155,938,669","156,028,587","156,256,984","157,422,145","158,054,194","158,222,009","157,088,170","156,303,671","157,008,270","157,035,204","156,941,917","156,881,013","157,811,455","158,379,534","158,012,089","158,314,980","159,630,054","160,191,546","159,271,370","159,094,428","159,230,787","158,886,020","158,396,120","159,115,799","159,915,009","160,345,148","160,254,295","160,411,874","161,779,111","162,360,813","161,288,952","161,464,166","160,871,565","160,860,019","160,268,295","160,093,162","161,530,151","161,566,543","161,288,967","161,756,979","163,268,667","163,704,400","161,856,907","161,882,401","162,621,178","162,538,312","162,365,696","162,448,766","163,108,891","163,133,464","162,395,519","162,935,593","164,392,423","165,212,862","164,283,749","164,200,253","164,820,477","164,620,893","164,237,712","164,249,018","164,969,447","163,044,055","155,816,117","158,062,474","161,494,132","162,164,323","161,495,826","160,584,497","161,471,748","160,863,363","160,270,207","159,809,491","160,573,270","160,956,716","160,906,853","161,115,561","162,687,603","163,355,932","162,333,720","161,934,909","162,431,479","162,691,685","162,302,769","162,824,822","163,724,553","164,274,054"
Alabama,"1,456,399","1,465,806","1,467,107","1,475,208","1,479,352","1,522,898","1,526,909","1,518,527","1,503,689","1,523,783","1,527,860","1,528,110","1,509,198","1,522,299","1,531,677","1,542,448","1,544,882","1,593,436","1,589,899","1,586,827","1,573,084","1,586,731","1,595,555","1,592,508","1,580,836","1,589,526","1,589,198","1,596,885","1,598,464","1,648,075","1,641,961","1,639,899","1,634,514","1,645,882","1,650,623","1,643,314","1,619,391","1,636,110","1,638,847","1,641,756","1,639,975","1,685,853","1,688,845","1,681,897","1,669,450","1,684,255","1,674,518","1,672,474","1,653,139","1,656,405","1,654,454","1,658,041","1,669,097","1,703,368","1,709,747","1,702,833","1,684,711","1,694,358","1,692,582","1,677,950","1,661,622","1,668,600","1,672,543","1,681,432","1,685,639","1,711,297","1,709,937","1,694,785","1,673,586","1,693,984","1,695,677","1,689,899","1,674,185","1,682,139","1,686,071","1,690,400","1,708,240","1,739,846","1,747,216","1,743,558","1,733,805","1,747,954","1,751,197","1,736,260","1,712,544","1,718,632","1,720,813","1,722,388","1,723,773","1,783,011","1,791,004","1,788,837","1,777,248","1,781,952","1,782,224","1,775,985","1,748,596","1,758,155","1,758,217","1,766,234","1,777,315","1,815,069","1,817,023","1,806,021","1,791,509","1,797,329","1,796,037","1,797,052","1,779,910","1,781,120","1,788,366","1,785,172","1,789,777","1,819,658","1,824,989","1,815,125","1,810,458","1,823,806","1,823,068","1,817,127","1,803,832","1,815,895","1,825,124","1,830,718","1,847,871","1,889,502","1,880,667","1,872,895","1,864,725","1,871,505","1,869,613","1,854,888","1,838,273","1,846,806","1,847,926","1,847,951","1,866,854","1,884,739","1,889,527","1,886,012","1,870,028","1,881,732","1,879,458","1,868,655","1,855,921","1,855,814","1,848,312","1,855,853","1,861,094","1,888,366","1,888,523","1,892,674","1,877,939","1,894,085","1,891,017","1,884,544","1,874,401","1,873,878","1,876,128","1,884,914","1,891,317","1,925,820","1,925,119","1,916,733","1,896,069","1,910,179","1,914,677","1,900,252","1,887,306","1,892,147","1,901,944","1,900,599","1,909,397","1,928,045","1,932,144","1,921,278","1,907,599","1,919,903","1,914,625","1,910,782","1,891,363","1,904,435","1,911,686","1,916,204","1,918,790","1,956,121","1,948,594","1,929,941","1,924,805","1,933,047","1,930,556","1,923,130","1,915,222","1,923,299","1,926,369","1,937,480","1,952,537","1,995,331","2,001,587","1,991,114","1,974,624","1,973,763","1,980,960","1,975,446","1,959,022","1,975,076","1,980,445","1,972,352","1,995,064","2,029,726","2,028,223","2,016,184","1,994,460","2,003,384","2,004,641","1,999,811","1,997,190","1,998,871","1,996,973","2,004,068","2,021,959","2,046,482","2,051,535","2,055,562","2,042,179","2,066,449","2,064,140","2,057,174","2,042,926","2,047,241","2,048,803","2,061,031","2,058,550","2,083,571","2,090,820","2,076,092","2,063,306","2,080,216","2,075,594","2,063,700","2,043,670","2,054,297","2,065,657","2,066,300","2,075,979","2,107,052","2,120,282","2,106,395","2,101,008","2,122,042","2,118,191","2,115,411","2,098,677","2,105,702","2,118,932","2,115,530","2,123,065","2,148,023","2,153,165","2,148,694","2,137,037","2,145,012","2,148,940","2,144,759","2,123,375","2,131,828","2,139,926","2,131,008","2,137,502","2,159,713","2,155,921","2,145,476","2,139,749","2,149,250","2,146,276","2,144,987","2,134,424","2,138,250","2,142,304","2,138,171","2,145,366","2,170,667","2,164,017","2,154,054","2,143,701","2,155,747","2,156,905","2,154,811","2,145,014","2,152,154","2,146,289","2,147,253","2,141,930","2,166,217","2,156,890","2,150,202","2,132,980","2,145,211","2,139,327","2,142,613","2,135,603","2,132,700","2,138,024","2,130,310","2,122,142","2,137,598","2,131,085","2,119,769","2,116,015","2,129,271","2,121,782","2,122,016","2,088,241","2,106,608","2,102,379","2,099,655","2,102,507","2,124,886","2,117,325","2,118,063","2,120,163","2,130,337","2,122,658","2,118,636","2,107,995","2,118,706","2,117,971","2,118,929","2,119,361","2,150,634","2,137,009","2,132,128","2,124,074","2,140,862","2,142,476","2,133,873","2,124,146","2,121,170","2,131,573","2,130,841","2,134,309","2,160,656","2,157,643","2,145,708","2,132,896","2,144,127","2,143,991","2,132,613","2,117,897","2,121,842","2,119,542","2,124,383","2,130,001","2,152,878","2,154,086","2,151,697","2,142,083","2,162,483","2,154,152","2,153,227","2,132,511","2,142,998","2,145,650","2,150,190","2,156,338","2,183,542","2,185,245","2,181,889","2,173,844","2,197,417","2,195,954","2,194,511","2,171,886","2,169,001","2,173,937","2,170,328","2,170,303","2,192,551","2,191,293","2,180,810","2,180,035","2,188,688","2,192,791","2,183,756","2,171,477","2,163,864","2,171,070","2,173,278","2,175,799","2,196,754","2,191,553","2,180,865","2,167,438","2,185,944","2,176,875","2,167,330","2,153,660","2,161,777","2,159,479","2,159,617","2,158,615","2,183,673","2,173,031","2,161,001","2,142,066","2,150,175","2,143,439","2,132,585","2,128,186","2,132,653","2,142,119","2,201,796","2,204,596","2,224,668","2,225,018","2,230,259","2,218,011","2,222,965","2,221,711","2,212,360","2,199,552","2,197,575","2,202,922","2,202,588","2,204,468","2,225,342","2,211,671","2,206,085","2,196,402","2,204,732","2,191,671","2,185,040","2,157,589","2,163,154","2,163,700","2,162,665","2,176,401","2,201,465","2,196,227","2,184,876","2,175,441","2,197,166","2,182,863","2,180,549","2,166,149","2,167,544","2,164,602","2,168,390","2,172,735","2,195,506","2,193,265","2,181,297","2,171,998","2,165,825","2,164,179","2,153,731","2,150,089","2,161,568","2,168,460","2,155,471","2,164,853","2,185,261","2,182,039","2,166,579","2,153,952","2,173,770","2,163,471","2,151,064","2,148,669","2,162,030","2,170,786","2,170,224","2,170,182","2,175,315","2,162,400","2,147,204","2,126,680","2,140,809","2,125,513","2,127,731","2,123,167","2,139,583","2,145,856","2,145,498","2,151,288","2,173,899","2,167,102","2,161,631","2,158,793","2,176,930","2,166,442","2,158,561","2,186,081","2,195,667","2,199,288","2,202,139","2,195,532","2,213,525","2,215,473","2,208,299","2,206,792","2,207,508","2,206,386","2,204,809","2,202,287","2,220,681","2,225,547","2,231,933","2,229,891","2,257,983","2,260,714","2,240,570","2,238,436","2,260,113","2,259,141","2,258,430","2,255,753","2,262,678","2,267,478","2,262,934","2,261,667","2,277,166","2,284,528","2,274,907","2,270,911","2,289,817","2,279,755","2,275,108","2,258,939","2,264,171","2,257,086","2,178,135","2,245,327","2,292,578","2,297,728","2,305,810","2,288,754","2,295,302","2,280,340","2,255,535","2,231,365","2,245,086","2,240,631","2,251,429","2,245,174","2,256,639","2,255,528","2,245,334","2,237,571","2,248,488","2,256,694","2,249,968","2,260,852","2,282,284","2,281,792"
Alaska,"154,805","152,489","157,325","158,146","162,997","168,758","174,508","173,926","167,737","166,501","165,701","165,272","164,260","167,398","167,468","167,612","172,312","177,994","184,383","180,234","175,258","173,553","175,162","175,887","176,475","176,015","175,822","176,360","181,815","189,652","191,907","188,041","182,134","180,617","182,324","184,207","179,048","181,746","180,423","179,434","183,234","192,272","193,887","189,956","185,185","183,556","184,482","182,435","180,778","182,943","183,854","183,583","189,735","196,349","202,516","194,547","190,973","188,629","188,461","183,559","188,461","187,016","189,657","187,458","196,257","203,537","208,841","205,732","203,457","203,334","201,855","200,645","201,907","203,136","202,630","202,417","211,404","220,228","225,742","223,504","218,337","216,476","216,705","218,372","218,159","220,962","220,705","222,568","228,277","238,774","242,541","240,969","234,858","233,699","232,218","231,960","231,340","234,423","236,520","235,384","243,219","251,513","256,730","250,385","246,689","244,447","245,224","243,171","242,709","243,149","246,051","244,185","249,439","255,955","258,226","255,989","252,451","250,098","248,273","248,684","247,847","250,720","250,955","253,372","256,672","262,636","266,120","262,651","255,350","251,241","251,033","249,167","245,934","247,042","246,271","244,502","250,940","256,433","258,659","254,756","249,148","249,041","247,081","245,087","244,447","246,243","245,628","243,676","250,376","256,572","262,906","257,560","251,428","251,667","250,852","250,540","247,303","249,116","248,727","251,496","257,017","265,734","269,965","267,688","260,598","258,929","261,237","257,194","262,685","262,946","265,298","263,633","270,874","276,690","282,836","277,737","271,373","271,084","270,942","269,702","266,576","268,789","270,358","272,995","276,268","282,663","287,723","283,316","278,117","275,950","275,635","276,143","276,820","278,959","280,458","279,973","286,474","294,723","298,889","293,840","290,208","283,869","286,775","286,054","284,036","286,204","289,402","285,726","294,436","302,372","305,520","300,553","295,861","295,465","296,706","292,833","294,835","297,835","296,623","295,380","301,523","307,104","310,887","307,797","302,424","299,547","297,706","297,775","298,090","296,017","297,210","298,242","302,016","307,899","312,992","309,340","304,204","302,727","303,156","301,184","300,905","302,599","304,950","303,888","308,310","315,353","320,101","314,893","308,886","309,177","307,044","306,669","305,755","307,685","308,939","307,396","313,522","317,739","323,698","317,782","313,422","310,221","310,526","310,477","310,561","310,447","312,790","309,334","316,165","323,130","323,679","319,829","315,948","314,841","314,201","312,840","313,448","315,788","315,233","313,212","318,966","324,624","327,648","322,744","318,891","316,237","316,467","316,282","315,238","317,394","318,160","315,663","321,145","327,793","328,402","324,265","318,878","317,314","316,189","316,881","316,601","316,695","318,229","316,830","321,103","327,522","331,326","326,368","322,166","322,048","320,938","319,988","319,003","323,214","323,710","321,621","326,465","333,593","335,778","332,210","330,075","327,399","325,925","325,645","328,198","329,930","327,886","327,425","332,879","339,536","340,475","335,705","333,263","331,502","331,757","331,375","331,575","331,500","332,775","331,163","335,862","343,415","347,066","342,164","339,029","338,539","338,739","337,790","336,591","339,438","339,050","338,829","343,553","350,717","353,578","349,557","346,821","344,683","344,082","342,980","340,955","344,311","343,984","342,610","349,553","355,871","358,824","355,432","349,959","347,500","348,501","347,564","346,377","345,120","347,177","344,143","348,997","356,024","360,487","354,021","352,256","348,867","349,941","349,387","347,658","348,615","350,997","350,296","356,809","362,606","365,309","363,125","356,235","354,082","353,514","354,332","352,585","355,044","354,978","355,880","360,482","367,276","369,621","366,434","360,616","357,612","357,744","354,275","356,467","357,495","358,639","359,904","360,897","366,653","371,072","366,810","362,801","359,873","360,157","359,718","359,097","360,565","360,971","358,175","364,510","370,318","372,657","370,155","367,212","363,928","364,506","363,094","358,542","361,325","362,177","359,757","364,909","371,360","372,831","367,998","364,715","364,021","360,741","361,462","359,484","361,132","359,096","358,484","365,088","371,156","372,727","368,508","365,611","360,939","361,427","358,870","359,562","360,885","363,208","359,341","367,311","371,501","374,747","368,559","365,139","362,184","360,971","357,956","360,028","359,253","360,475","358,599","365,370","368,290","371,753","367,393","361,767","358,982","358,930","358,266","356,568","358,771","359,843","359,210","362,606","368,398","371,194","367,255","363,575","359,500","359,062","358,231","357,341","360,252","358,850","357,911","361,422","367,919","370,421","365,657","360,879","357,082","355,999","353,327","352,508","354,939","353,981","351,241","357,152","362,356","365,504","358,994","354,747","353,710","351,293","348,993","348,547","350,729","350,492","346,067","352,286","359,599","363,240","358,194","354,799","351,604","350,059","348,979","348,658","350,733","349,734","332,610","342,077","352,363","356,756","347,789","345,038","346,584","344,794","345,457","344,709","347,094","347,584","350,052","353,172","359,386","362,453","359,758","357,563","358,653","359,883","358,926","357,364","358,912","357,679"
